dataset,fraction,outer_id,model_seed,target,original_class,no_aug_f1
3W,0.1,31003,45,2,8,0.8659670164917541
3W,0.1,31003,45,3,9,0.009501187648456057
3W,0.1,31003,46,0,0,0.515235735333512
3W,0.1,31003,46,1,2,0.3429068755439513
3W,0.1,31003,46,2,8,0.6823401068727696
3W,0.1,31003,46,3,9,0.002959455460195324
3W,0.25,31001,42,0,0,0.9264871529821862
3W,0.25,31001,42,1,2,0.6398868458274399
3W,0.25,31001,42,2,8,0.7949311606369629
3W,0.25,31001,42,3,9,0.0
3W,0.25,31001,43,0,0,0.9216221678094907
3W,0.25,31001,43,1,2,0.0
3W,0.25,31001,43,2,8,0.757876827761103
3W,0.25,31001,43,3,9,0.0
3W,0.25,31001,44,0,0,0.9208105598682889
3W,0.25,31001,44,1,2,0.0
3W,0.25,31001,44,2,8,0.7584924486371264
3W,0.25,31001,44,3,9,0.0
3W,0.25,31001,45,0,0,0.9298277058545081
3W,0.25,31001,45,1,2,0.5471730537893109
3W,0.25,31001,45,2,8,0.7681794414092786
3W,0.25,31001,45,3,9,0.0
3W,0.25,31001,46,0,0,0.9075297038816849
3W,0.25,31001,46,1,2,0.0
3W,0.25,31001,46,2,8,0.7398836680620228
3W,0.25,31001,46,3,9,0.0
3W,0.25,31002,42,0,0,0.04178874966232363
3W,0.25,31002,42,1,2,0.09553317841466563
3W,0.25,31002,42,2,8,0.15069118579581484
3W,0.25,31002,42,3,9,0.13532363698222336
3W,0.25,31002,43,0,0,0.4531726464672679
3W,0.25,31002,43,1,2,0.9634408602150538
3W,0.25,31002,43,2,8,0.15637481606054235
3W,0.25,31002,43,3,9,0.17240757439134355
3W,0.25,31002,44,0,0,0.13876879557833707
3W,0.25,31002,44,1,2,0.04144687264506405
3W,0.25,31002,44,2,8,0.1558356523162547
3W,0.25,31002,44,3,9,0.24339269740587136
3W,0.25,31002,45,0,0,0.1966536563525049
3W,0.25,31002,45,1,2,0.13134328358208955
3W,0.25,31002,45,2,8,0.13963106056483648
3W,0.25,31002,45,3,9,0.6339144215530903
3W,0.25,31002,46,0,0,0.0002596391016487083
3W,0.25,31002,46,1,2,0.014794889038332213
3W,0.25,31002,46,2,8,0.12975277609850774
3W,0.25,31002,46,3,9,0.6348613574829615
3W,0.25,31003,42,0,0,0.02917721518987342
3W,0.25,31003,42,1,2,0.5022727272727273
3W,0.25,31003,42,2,8,0.8342005451045419
3W,0.25,31003,42,3,9,0.21015247076112914
3W,0.25,31003,43,0,0,0.1834690410637924
3W,0.25,31003,43,1,2,0.3253012048192771
3W,0.25,31003,43,2,8,0.8758999225510994
3W,0.25,31003,43,3,9,0.19548460661345496
3W,0.25,31003,44,0,0,0.12266666666666666
3W,0.25,31003,44,1,2,0.25787106446776614
3W,0.25,31003,44,2,8,0.8613047727108761
3W,0.25,31003,44,3,9,0.0
3W,0.25,31003,45,0,0,0.4267203149674433
3W,0.25,31003,45,1,2,0.4376278118609407
3W,0.25,31003,45,2,8,0.8660254322349923
3W,0.25,31003,45,3,9,0.0
3W,0.25,31003,46,0,0,0.31671299956642607
3W,0.25,31003,46,1,2,0.42990654205607476
3W,0.25,31003,46,2,8,0.745035831293992
3W,0.25,31003,46,3,9,0.0002463600305486438
3W,1.0,31001,42,0,0,0.7252569956023641
3W,1.0,31001,42,1,2,0.27423613730667673
3W,1.0,31001,42,2,8,0.4964868697422994
3W,1.0,31001,42,3,9,0.0
3W,1.0,31001,43,0,0,0.9593794356697918
3W,1.0,31001,43,1,2,0.46289234379583455
3W,1.0,31001,43,2,8,0.8252283569394623
3W,1.0,31001,43,3,9,0.0
3W,1.0,31001,44,0,0,0.7367196374022651
3W,1.0,31001,44,1,2,0.038289205702647655
3W,1.0,31001,44,2,8,0.49225799504683965
3W,1.0,31001,44,3,9,0.0
3W,1.0,31001,45,0,0,0.7453473811477179
3W,1.0,31001,45,1,2,0.32237539766702017
3W,1.0,31001,45,2,8,0.4667200930937195
3W,1.0,31001,45,3,9,0.0
3W,1.0,31001,46,0,0,0.6589110776186887
3W,1.0,31001,46,1,2,0.0
3W,1.0,31001,46,2,8,0.44810222011733664
3W,1.0,31001,46,3,9,0.0
3W,1.0,31002,42,0,0,0.09687905717535049
