dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,3,0.3242314297112778,0.038276704958161434,0.8587126414767176,0.006810361517665931,0.764355937578601,0.11588577483477691,0.839348250143431,0.1648599074428713,0.8352185687387657,0.16847441743829245,67.14999999999999,9.7840147406085,
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.32651053055492535,0.10657890272819785,0.7610345044024968,0.14301149984475287,0.65093735207238,0.3973991465298074,0.8579090190870461,0.02521774979418294,0.8589736343542868,0.022135523578037032,724.8667989417991,800.2653999514162,0.14015012080565503
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,3,0.3904632316033629,0.15238370151429742,0.8252387556656694,0.014164665527478467,0.3384669441913372,0.25764207318267124,0.9419392761603147,0.06945619753326475,0.9427826176342097,0.06585246387514103,469.2539682539682,259.2731044786005,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,3,0.17006263793701368,0.052867008348935374,0.65248293437898,0.015536621160757932,0.882449704013939,0.09597982252655551,0.7651044083526682,0.0808482119410607,0.7562613492308219,0.06612265800356314,2598.8747474747474,2424.045557584758,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,3,0.29487217361250095,0.05507965672395645,0.8599109520945132,0.011984956279374124,0.7224828581739445,0.2586144181464682,0.8326333907056799,0.22365828360711754,0.8309548539476118,0.22878587802302652,115.88441558441559,80.99374563827834,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.2851326810509592,0.11052261627665641,0.7792108807130541,0.11111039369851534,0.6477998354597402,0.2795755285380882,0.8465590250728875,0.08923611985924655,0.8433329402708812,0.09387469657725604,1061.3377104377105,1343.2172629116792,0.10913320223545936
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31001,3,0.3152950450438063,0.11958032994218679,0.7609469678562218,0.05976049224519247,0.40897369471095146,0.3094854617706914,0.9381365386691618,0.08368527611465111,0.9458021740806414,0.07092314824715323,308.6507936507937,197.02256125821427,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31002,3,0.32711537685191394,0.13723622118343407,0.7413890697200798,0.1586633290619454,0.7535217110555573,0.3649500016566526,0.9969992266047951,0.003016360280834901,0.9967451262548396,0.003237878787496302,84.77777777777777,86.91588100209518,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31003,3,0.3548424066127602,0.06049039050008925,0.8546593605528635,0.02275962159585731,0.6576118456306114,0.2105244953579253,0.7792403901319563,0.1964791457786583,0.7752799396724669,0.2014313340590349,102.06581196581196,38.18571579897946,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,9,0.33241760950282684,0.020299844952109795,0.7856651327097217,0.060545688959904066,0.6067024171323734,0.1778262110158781,0.9047920518019711,0.11264376955175251,0.9059424133359827,0.1159883942985563,165.16479446479448,124.56280746404636,0.23823193696485817
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31001,3,0.48757932140545024,0.1097165921824907,0.8778460066274656,0.02003842644059532,0.3355100558027074,0.20250478443670916,0.9745684432768321,0.01448072338768659,0.9746614242027086,0.015274860698686396,301.6380952380953,282.8941625606374,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31002,3,0.24832455695845476,0.05771720005486857,0.4406686084268732,0.26408108191101526,0.9207204672286974,0.011289423060304764,0.9982366589327146,0.001385910396572444,0.9986980505019357,0.001132196638356683,25.222222222222225,7.698003589195012,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31003,3,0.2814388968559382,0.04481441259692996,0.8946519674593759,0.0005708756056618912,0.8633028225233205,0.08621728382891215,0.9739804934021802,0.015786353186411865,0.9732747131833682,0.016119789837077306,222.82222222222222,122.22218989898562,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,9,0.3391142584066144,0.1296362066521068,0.7377221941712383,0.25739315197292945,0.7065111151849085,0.3225764033960246,0.9822618652039089,0.013837700216155576,0.9822113959626709,0.01429468696004173,183.22751322751324,142.39817221110522,0.181791535646276
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31001,3,0.24140216406451767,0.10656991571441156,0.3519866544068346,0.2508353545748527,0.5087783554578859,0.08189730831750908,0.622269406557023,0.37383114159809383,0.6301621566057616,0.3891542816059947,858.9333333333333,849.1675832981786,
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31002,3,0.18884588693911772,0.0979508583989873,0.33554111777655055,0.2848560234921687,0.8696543041531841,0.07319182563149249,0.7952668213457077,0.062095311010628075,0.7922020077431733,0.06939781439813103,3173.047474747475,2084.177709539993,
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31003,3,0.2613784420823347,0.05460699576397827,0.7265321898755621,0.06715459159407619,0.8129654538893081,0.16439601060455258,0.8954033275960986,0.06817933553784357,0.9016310250463602,0.06921846431960713,254.48095238095235,201.66222421598195,
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,9,0.23054216436199004,0.037465952330818016,0.4713533206863157,0.2211443089461978,0.7304660378334593,0.19406822981583025,0.770979851832943,0.13817715937024638,0.774665063131765,0.13658145903757382,1428.8205868205869,1540.4824723556865,0.07711869006239165
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,3,0.4092726782805916,0.18419466630813014,0.8439512258619947,0.040457664279538084,0.3394406627241488,0.25639559521024424,0.9434747663775626,0.06701534143613644,0.9442602729165062,0.06353190634954653,441.31746031746025,234.51489629343868,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,3,0.1811719450823728,0.0848036777682495,0.6565956794295597,0.002755640185099685,0.9463401260420837,0.032149290443496556,0.8389791183294664,0.1117484252811068,0.8216671805941002,0.12376290290923278,3422.0851851851853,2951.7792122829655,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,3,0.31481423235513545,0.05360791462754624,0.8689951267021084,0.010839720975016651,0.81735069934276,0.0693544187263292,0.9547217441193344,0.023516525737817505,0.9550104577209283,0.02279821216659089,99.86996336996337,55.338595134862445,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.3017529519060333,0.11460992062914459,0.7898473439978876,0.11607671525760452,0.7010438293696643,0.31972989482702946,0.9123918762754544,0.06382553093400913,0.906979303743845,0.0740777320493157,1321.090869624203,1827.5063430280068,0.12849488629077457
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32001,3,0.9160705886569369,0.012758380388462208,0.9692963979856803,0.013317965026522523,0.012794151245145076,0.015052836563883149,0.8340353833192923,0.011048759097391688,0.7604166666666666,0.032072508996543035,94.46989094357515,14.536474140460593,
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32002,3,0.9189373143862429,0.0038689054078906125,0.9743459157672358,0.00686513495014782,0.005234356412086604,0.001485842968926576,0.8337545633249088,0.008646337724426032,0.775,0.012500000000000011,95.31833858149646,5.056844339871999,
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32003,3,0.9641772286149713,0.007931818781946015,0.9944325360052396,0.002228490670560785,0.022510231923601635,0.003797929306159633,0.9489514348785871,0.016016304482264286,0.9666666666666667,0.020090939085401983,73.13333333333334,0.2309401076758536,
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,9,0.933061710552717,0.02698492407463139,0.9793582832527186,0.013296587136995977,0.013512913193611106,0.008660336755938719,0.8722471271742628,0.06642802744525138,0.8340277777777777,0.11509984594706041,87.64052095280165,12.570753172281067,0.9017028060391049
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,3,0.9378489495697857,0.031848682320255284,0.9790097991941903,0.016573394414684903,0.026730637422892393,0.01982930245577715,0.8969390620612187,0.045009234397513954,0.8395833333333332,0.07814583055629606,85.99554655870445,13.078247028152424,
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,3,0.9230409887436307,0.014296017187173904,0.9746389455031216,0.010489575669724497,0.019034023316678562,0.005357283011752416,0.8579050828418983,0.024450698737478512,0.80625,0.016535945694153675,93.35897435897436,8.194865376590025,
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,3,0.9763502666829268,0.007831420779600138,0.9971653223293938,0.0016072704758536616,0.022737608003638016,0.006447224592431936,0.9757174392935982,0.009522866405484222,0.9874999999999999,0.01082531754730551,73.0,0.4000000000000057,
