dataset,method,seed,relative_window,phase,run_count,normalized_score_mean,normalized_score_median,normalized_score_ci_low,normalized_score_ci_high,raw_probability_mean,pre_onset_mean,pre_onset_std
TEP,UNIFORM_DIFFUSION,7,-5,pre_onset,40,-0.37563562393188477,-0.37563562393188477,-0.5919896841049195,-0.1592815637588501,0.3770734667778015,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,-4,pre_onset,40,0.8118928670883179,0.8118928670883179,0.6032710075378418,1.020514726638794,0.39571167528629303,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,-3,pre_onset,40,1.2869226187467575,1.2869226187467575,0.9845986589789391,1.589246578514576,0.4031672477722168,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,-2,pre_onset,40,-0.16406033635139466,-0.16405943036079407,-0.24838229417800903,-0.0797384262084961,0.38039413169026376,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,-1,pre_onset,40,0.27839470282197,0.27839470282197,0.21674189455807208,0.3403043977869661,0.38733844459056854,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,0,early_fault,40,11.261461011320353,6.498137474060059,7.859987762235105,14.992715707756577,0.5597171999514103,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,1,early_fault,40,14.292367908265442,8.02639389038086,10.383758997712285,18.669857395996804,0.6072871513664723,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,2,early_fault,40,17.769212061166762,14.398894309997559,13.912305307760834,21.71483035624027,0.6618560723960399,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,3,early_fault,40,19.666205933690073,17.854233741760254,15.236608079969882,23.984729251787066,0.6916293144226074,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,4,post_onset,40,19.96273792311549,19.794697761535645,15.490744598377496,24.33783798649907,0.6962833665311337,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,5,post_onset,40,19.324296095222234,18.45654010772705,14.600323578715324,24.088869366124264,0.6862630560994148,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,6,post_onset,40,18.779373470786958,15.442712783813477,14.001846967954188,23.431576435472817,0.6777105137705803,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,7,post_onset,40,19.46338501352584,15.671755313873291,14.675377120329358,23.943203444603423,0.6884460411965847,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,8,post_onset,40,19.8385510167107,16.199070930480957,15.077370023783295,24.615115200807338,0.6943342559039593,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,9,post_onset,40,19.324566520377992,14.688031673431396,14.41300587998703,24.015040815612295,0.6862672947347164,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,10,post_onset,40,19.153684367239475,15.072914123535156,14.68018081896007,23.95128807362169,0.6835853032767772,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,11,post_onset,40,18.35828668102622,14.635103225708008,13.897097638212145,23.220671526398498,0.6711015716195107,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,12,post_onset,40,17.871680146455766,13.293160915374756,13.379762673331424,22.65149797524325,0.6634643085300922,0.38296905159950256,0.015694957226514816
TEP,FINAL_QDIFFCL,7,-7,pre_onset,40,-1.2577480971813202,-1.2577480971813202,-1.4133069306612014,-1.102189263701439,0.44559715688228607,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-6,pre_onset,40,-0.6458147466182709,-0.6458147466182709,-0.7981290012598038,-0.49350049197673795,0.44984646141529083,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-5,pre_onset,40,-0.35556240379810333,-0.35556240379810333,-0.5515149518847465,-0.1596098557114601,0.45186199247837067,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-4,pre_onset,40,0.8419657945632935,0.8419657945632935,0.6625271201133728,1.021404469013214,0.4601777046918869,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-3,pre_onset,40,1.3059039413928986,1.3059039413928986,1.0202767997980118,1.5915310829877853,0.46339932084083557,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-2,pre_onset,40,-0.19567035511136055,-0.19567035511136055,-0.28078386895358565,-0.11055684126913548,0.45297229290008545,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,-1,pre_onset,40,0.30689799785614014,0.30689799785614014,0.2551167279481888,0.3586792677640915,0.45646215975284576,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,0,early_fault,40,13.365840870141984,6.574136972427368,8.841499713249505,18.382353457361447,0.5471442945301532,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,1,early_fault,40,18.067255979217588,8.085161685943604,12.168262906982562,24.634514418309553,0.5797912240028381,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,2,early_fault,40,23.270920711755753,14.950096130371094,16.83193549178541,30.188572541996827,0.6159258037805557,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,3,early_fault,40,26.75383335351944,18.50780487060547,19.59763219572604,33.81946783900261,0.6401113741099834,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,4,post_onset,40,28.308114272356033,20.982242584228516,20.83057681322098,36.32553668353705,0.6509043976664544,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,5,post_onset,40,28.02475974559784,19.397700309753418,20.095419643968345,36.27760531239211,0.6489367671310902,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,6,post_onset,40,27.636731402017176,15.963159561157227,19.48489868974313,36.17522518862505,0.6462422750890255,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,7,post_onset,40,28.459051106963308,16.309595108032227,20.544176466343927,36.56808821013197,0.6519525125622749,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,8,post_onset,40,29.115191852115096,16.926013469696045,20.722729506730104,38.41741924957838,0.6565087981522083,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,9,post_onset,40,28.80354359988123,15.158487319946289,20.570232891631314,37.62371522936969,0.6543446935713291,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,10,post_onset,40,28.573512187600137,15.591067790985107,20.116956357844174,37.36050083354115,0.6527473390102386,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,11,post_onset,40,27.46731423214078,14.886123180389404,19.36541027791798,36.113741062544285,0.6450658284127713,0.45433104038238525,0.006944064050912857
TEP,FINAL_QDIFFCL,7,12,post_onset,40,26.51918695430504,13.938672065734863,18.67838898137328,35.01986719757435,0.6384819723665714,0.45433104038238525,0.006944064050912857
TEP,DCBR,7,-7,pre_onset,40,-1.0667512118816376,-1.0667512118816376,-1.094035616517067,-1.039466807246208,0.3484147936105728,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-6,pre_onset,40,-0.35235206224024296,-0.35235206224024296,-0.44779320117086174,-0.2569109233096242,0.35762058198451996,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-5,pre_onset,40,0.22156909108161926,0.22156909108161926,0.008904114365577698,0.46967823058366776,0.3650161623954773,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-4,pre_onset,40,1.1249043643474579,1.1249043643474579,0.9486909836530686,1.3011177450418472,0.37665659189224243,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-3,pre_onset,40,1.077948421239853,1.077948421239853,1.006511279940605,1.1493855625391007,0.37605151534080505,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-2,pre_onset,40,-0.8442616611719131,-0.8442616611719131,-1.11983213275671,-0.5686911895871163,0.3512818068265915,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,-1,pre_onset,40,-0.1610557734966278,-0.1610557734966278,-0.40573810040950775,0.12440694123506546,0.3600856363773346,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,0,early_fault,40,15.07896444387734,9.001766204833984,10.407703473959119,20.0293613337446,0.5564694024622441,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,1,early_fault,40,19.08227705084719,10.287178039550781,13.747734287931817,24.634669190981654,0.6080563120543957,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,2,early_fault,40,24.153575456142427,21.479796409606934,18.94582046881318,29.407744130939243,0.6734053499996662,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,3,early_fault,40,26.15538368448615,24.65136432647705,20.442150704730302,31.817810261528926,0.6992007702589035,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,4,post_onset,40,26.45135265402496,26.235929489135742,20.435592255480586,32.16969652962405,0.7030146464705467,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,5,post_onset,40,26.685523781180382,28.29491901397705,20.95075531158596,32.56838097754866,0.7060321867465973,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,6,post_onset,40,26.55523124821484,32.30958557128906,20.529612676473334,32.58460180222988,0.704353229701519,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,7,post_onset,40,27.172084413841368,31.18800449371338,20.939297816464677,33.10508634699508,0.7123020336031913,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,8,post_onset,40,26.979268727637827,30.005953788757324,21.124292742679824,33.32372122940141,0.709817399084568,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,9,post_onset,40,26.00744503904134,25.51496410369873,19.485383637775666,32.06042201712727,0.6972944296896457,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,10,post_onset,40,26.221241380274297,24.81626033782959,20.42545422926545,31.91582531653343,0.700049415230751,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,11,post_onset,40,26.0832821033895,25.063457489013672,20.18151010656729,31.836018497478218,0.6982716649770737,0.3621610105037689,0.012886056676506996
TEP,DCBR,7,12,post_onset,40,25.505533339083193,22.83948040008545,19.856301229968665,31.484071714580057,0.6908267624676228,0.3621610105037689,0.012886056676506996
