dataset,method,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_seed_macro_f1
3W,JITTER_SCALING,split,31001,5,0.400797319829322,0.11654223052626464,0.8171491170631249,0.039907607849840224,0.3483589716102982,0.16428819515366855,0.8980170583366321,0.056122645314945964,0.9070233598026366,0.051496880411163314,426.1398496240601,240.55073074347166,
3W,JITTER_SCALING,split,31002,5,0.22714635251772952,0.05500055349307076,0.6219366664593786,0.06116054058250635,0.9173814702985833,0.1008968183381337,0.8301624129930394,0.11422759912419338,0.8224483502929386,0.11149770499244387,2066.608484848485,1927.1932128470435,
3W,JITTER_SCALING,split,31003,5,0.3487898969574733,0.06448643117463872,0.8579268034855921,0.018928139758709838,0.7017617532233195,0.20571392675526243,0.8860089500860585,0.0739585980051131,0.8847004254229329,0.07483904127132535,92.62289377289378,47.644788805499815,
3W,JITTER_SCALING,overall,ALL,15,0.3255778564348416,0.08912218428080161,0.7656708623360319,0.1261362129831214,0.655834065044067,0.28727802806598846,0.87139614047191,0.03621068733524264,0.8713907118395028,0.04383029106846185,861.7904094151463,1056.644848626173,0.15069395454822207
3W,UNIFORM_DIFFUSION,split,31001,5,0.3721486515482952,0.14252967178960496,0.8228511658497766,0.04091647718017038,0.37135838201925997,0.18837824498053451,0.913585489617447,0.0647302085693141,0.9186030375452934,0.058851660360692434,440.2390476190476,304.0940629106489,
3W,UNIFORM_DIFFUSION,split,31002,5,0.2413198041140237,0.11102606612392012,0.6409377365925651,0.023280158176145635,0.8340227048905339,0.28237363302418456,0.8546078886310905,0.11890169811908395,0.8403330249768732,0.1303079521789402,2987.3844444444444,2721.3741365052156,
3W,UNIFORM_DIFFUSION,split,31003,5,0.31620328165531975,0.04069867816295525,0.8676439931594461,0.012206106663310972,0.7770086283258423,0.10989674234863667,0.9437025817555937,0.0263742107292269,0.9456853008551143,0.02428321903512559,105.42197802197802,40.569268784319334,
3W,UNIFORM_DIFFUSION,overall,ALL,15,0.3098905791058795,0.06564247474275518,0.7771442985339293,0.12006569027625445,0.660796571745212,0.2522766348386396,0.9039653200013772,0.045319717930706695,0.9015404544590936,0.05470945361051739,1177.6818233618233,1576.164109503948,0.12849488629077457
3W,FRERA,split,31001,5,0.44324945183417397,0.06727450206966833,0.7813040924455971,0.10050276966456356,0.2183166282539172,0.19368629637907034,0.7910893583330334,0.13886573589832552,0.8033305065145324,0.1473307162220879,814.9852380952382,816.3909259335945,
3W,FRERA,split,31002,5,0.2573995151968457,0.09471806765922507,0.4537070288593149,0.23396353778694595,0.8860166877698777,0.1589954380801807,0.912631090487239,0.09482408937772045,0.9060335080686608,0.10656484296290081,1114.7083333333335,2083.422020195647,
3W,FRERA,split,31003,5,0.299598707095838,0.04338152404108894,0.8629715651405536,0.01020709597696757,0.7688067976772416,0.1480643846044795,0.827643373493976,0.1618298147412408,0.8242334561700554,0.1643196895120627,4101.859230769231,9014.662132368288,
3W,FRERA,overall,ALL,15,0.3334158913756193,0.09743075080016703,0.6993275621484886,0.2165975041500684,0.6243800379003455,0.35651109249803753,0.8437879407714162,0.062358507464443116,0.8445324902510829,0.05427720258565156,2010.5176007326008,1817.3444482535435,0.14015012080565503
3W,FINAL_QDIFFCL,split,31001,5,0.35191057050497687,0.11974341225567484,0.8196783489616412,0.03717649963504167,0.3752979221382502,0.1801579911089587,0.9146219455140894,0.06345818522405017,0.9213861691465578,0.056665061830428895,296.8085213032582,229.55300515291688,
3W,FINAL_QDIFFCL,split,31002,5,0.2875226800168839,0.15490931321272142,0.6746485657178667,0.027056105663667892,0.7715918314340444,0.3357146793464758,0.8741716937354989,0.0977798210575334,0.8642203720834617,0.10703925328642855,2362.7193939393937,2336.7750173646614,
3W,FINAL_QDIFFCL,split,31003,5,0.325276569678975,0.04309196720959146,0.8676213252319875,0.01714811788879104,0.8075128768741184,0.07600198266159723,0.9474175559380379,0.029526063499823913,0.9487159056955452,0.02757426238754775,85.65168165168166,23.947095134313535,
3W,FINAL_QDIFFCL,overall,ALL,15,0.3215699400669452,0.032353584618821526,0.7873160799704984,0.10047441873091371,0.6514675434821376,0.23984333468182228,0.9120703983958753,0.03668953361615113,0.9114408156418549,0.043116775648786784,915.0598656314445,1258.1476007045062,0.12558438107023245
3W,DCBR,split,31001,5,0.41338336931579833,0.10723045923087064,0.8041376312425637,0.022856375547695162,0.34680459523681906,0.16251892429525888,0.9023716126246086,0.05447518570556452,0.9091588929149641,0.05120916720580141,550.2190476190475,267.71256119110495,
3W,DCBR,split,31002,5,0.21788435422999886,0.1538283343769537,0.6494603287643463,0.06873402142144294,0.839886150882547,0.2828352293073279,0.8501345707656613,0.1309846095230753,0.8440127454003494,0.130595010115988,1961.7993939393934,2490.5466721106495,
3W,DCBR,split,31003,5,0.32979676287608184,0.018874544621352518,0.8610296682454036,0.0181282629515462,0.8002624585807553,0.11230128721593616,0.89007917383821,0.11786081632673483,0.889298976993014,0.1190671774255822,72.43588078588078,13.03981614135784,
3W,DCBR,overall,ALL,15,0.320354828807293,0.09809092116041591,0.7715425427507712,0.10948619181181501,0.6623177349000405,0.27395969634786493,0.8808617857428267,0.027311120775593205,0.880823538436109,0.033389817730078805,861.4847741147738,982.3891212636314,0.09769436595699868
TEP,NO_AUG,split,32001,5,0.942966597156308,0.02289598096349029,0.9819633916321958,0.012083750109067919,0.01960246744345442,0.01656771637725896,0.8994102780117943,0.031048965257585485,0.85125,0.061934945709187464,86.06283400809716,10.169556954743511,
TEP,NO_AUG,split,32002,5,0.9257815414077075,0.012682268371730171,0.9783764168097138,0.009292734475038691,0.013704496788008566,0.005629334519095034,0.8576242628475146,0.023641474642632287,0.805,0.023962861890851034,95.25897435897437,8.21033688840904,
TEP,NO_AUG,split,32003,5,0.9752970895342749,0.007043617513990189,0.9970106515584909,0.0012959664402712547,0.01909959072305593,0.009402488916841896,0.9690397350993377,0.007441127501405374,0.9824999999999999,0.006846531968814598,73.16,0.21908902300206956,
TEP,NO_AUG,overall,ALL,15,0.9480150760327635,0.02514085779748006,0.9857834866668002,0.009887038015664235,0.017468851651506304,0.0032697089935855147,0.9086914253195489,0.05628460389649529,0.8795833333333333,0.09207956251706088,84.82726945569051,11.101177043540229,0.9027129238122751
TEP,JITTER,split,32001,5,0.9423523304936083,0.022302178847095393,0.9817177347730135,0.01202922758648539,0.019465387251542152,0.01763892386275218,0.897893850042123,0.02747633866163672,0.8425,0.051043792472738554,88.02755735492579,10.495191813401805,
