run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00029,,4488,0.31137837775450294,0.98007695966539,0.9994407158836689,1.0,1.0,27.0
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00006,,63214,0.2199173196766829,0.0,0.7180846015123232,nan,,
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00011,,3529,0.04581151832460733,0.9874602882429083,0.922850844966936,0.9714022140221402,0.9646924829157175,165.84615384615384
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00013,,319,0.2835820895522388,1.0,0.0,0.8048780487804879,0.7802197802197802,1307.0
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00016,,2007,0.00266058532877233,1.0,0.9959931310818546,1.0,1.0,6.0
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00019,,34543,0.3927911519320416,0.8769106584073347,0.9993385696568831,0.9924714896650035,0.9920399415948378,19.0
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed42-uniform_diffusion,3W,31001,42,UNIFORM_DIFFUSION,WELL-00029,,4488,0.3302809443717685,0.9845615800932758,1.0,1.0,1.0,27.0
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00011,,3529,0.4360663038616796,0.9857296987742696,0.0,0.8404059040590406,0.8029612756264237,864.9230769230769
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00013,,319,0.8867934093789607,0.9975671523513016,0.0,0.8292682926829268,0.8076923076923077,1147.0
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00016,,2007,0.19742143432715553,0.999734881626032,0.5792787635947338,1.0,1.0,6.0
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00019,,34543,0.34747165974832805,0.8472493960999582,0.47482430756510957,0.8513453314326443,0.8610522349394752,43.0
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-dcbr,3W,31001,43,DCBR,WELL-00029,,4488,0.6405276420984513,0.9999013687600644,0.0,0.9929629629629629,0.9926156237854644,91.0
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00008,,31509,1.0,0.0,0.0,nan,,
