dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
3W,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.22714635251772952,0.05500055349307076,0.6219366664593786,0.06116054058250635,0.9173814702985833,0.1008968183381337,0.8301624129930394,0.11422759912419338,0.8224483502929386,0.11149770499244387,2066.608484848485,1927.1932128470435,,,,
3W,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.3487898969574733,0.06448643117463872,0.8579268034855921,0.018928139758709838,0.7017617532233195,0.20571392675526243,0.8860089500860585,0.0739585980051131,0.8847004254229329,0.07483904127132535,92.62289377289378,47.644788805499815,,,,
3W,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.3255778564348416,0.08912218428080161,0.7656708623360319,0.1261362129831214,0.655834065044067,0.28727802806598846,0.87139614047191,0.03621068733524264,0.8713907118395028,0.04383029106846185,861.7904094151463,1056.644848626173,0.15069395454822207,31002,44,3w-outer31002-seed44-jitter_scaling
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.35586324631456323,0.13206999288443025,0.8049185698188832,0.029919668823883194,0.4086902145754051,0.22624427241759576,0.925490337208047,0.05497248032643306,0.9308688613059903,0.04981178024457648,438.67619047619047,313.24683709876615,,,,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.23417437240687025,0.16304808700180207,0.6707126559774204,0.05650008003791147,0.7738147029858339,0.30164770013562753,0.8167238979118331,0.09316377988338821,0.8094562647754137,0.08840458352886288,1844.0581818181818,2030.3985740368496,,,,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.3033160104474065,0.040646552143051615,0.8617943018434172,0.01665588052056102,0.7324497227781241,0.18941665247167516,0.8711628227194492,0.16757830423553066,0.871755616578689,0.17194008094237762,117.40372627372628,57.749431427199696,,,,
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.29778454305628,0.06103272365587925,0.7791418425465736,0.09811411008803897,0.6383182134464543,0.19993631184964378,0.8711256859464432,0.05438322915797826,0.8706935808866977,0.06071326534565941,800.0460328560329,918.3000732054333,0.10913320223545936,31002,43,3w-outer31002-seed43-no_aug
3W,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.41156349324996294,0.10840161867851492,0.8043127626217016,0.023120262556410996,0.3469064336888746,0.16253684826399617,0.9026235289883757,0.054093013492967836,0.9093593400663018,0.050925462972428524,551.4380952380952,267.98823543406854,,,,
3W,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.2206500835414542,0.06756295799258874,0.6396137784069394,0.0217222093627862,0.9534214257112865,0.03952171435826802,0.827508120649652,0.04948731724683972,0.8091684654126837,0.05466388849908864,3286.8921212121213,1469.5463292442416,,,,
3W,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.3287030261642972,0.056021137437281925,0.8667179522068397,0.01758393700206174,0.8232341458613563,0.08026064223864322,0.8973576592082617,0.11683601151257539,0.8972496905368297,0.11894300192496014,81.21098901098901,33.028132563089294,,,,
