class_2_recall,class_8_recall,class_9_recall,far,macro_f1,macro_f1_all_primary_classes,method,observed_targets,seed,well_id,windows
,,0.0,0.0,0.2969048528849828,0.1484524264424914,JITTER_SCALING,0/3,44,WELL-00014,3723
,,0.3665283540802213,0.8944658944658944,0.23563082466881502,0.11781541233440751,FINAL_QDIFFCL,0/3,45,WELL-00014,3723
,,0.5601659751037344,0.9871299871299871,0.25496303941604337,0.12748151970802168,FRERA,0/3,45,WELL-00014,3723
,,0.5887505763024435,0.9871299871299871,0.264536002892348,0.132268001446174,JITTER_SCALING,0/3,45,WELL-00014,3723
,,0.5744582757030889,0.9877734877734877,0.2593293512043512,0.1296646756021756,FINAL_QDIFFCL,0/3,46,WELL-00014,3723
,,0.10650069156293222,0.6145431145431145,0.21527142748376085,0.10763571374188043,FRERA,0/3,46,WELL-00014,3723
,,0.007837713231904103,0.342985842985843,0.22224552901788128,0.11112276450894064,JITTER_SCALING,0/3,46,WELL-00014,3723
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FINAL_QDIFFCL,0/3,42,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FRERA,0/3,42,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,JITTER_SCALING,0/3,42,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FINAL_QDIFFCL,0/3,43,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FRERA,0/3,43,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,JITTER_SCALING,0/3,43,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FINAL_QDIFFCL,0/3,44,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FRERA,0/3,44,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,JITTER_SCALING,0/3,44,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FINAL_QDIFFCL,0/3,45,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FRERA,0/3,45,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,JITTER_SCALING,0/3,45,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FINAL_QDIFFCL,0/3,46,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,FRERA,0/3,46,WELL-00020,120
,,1.0,1.0,0.047619047619047616,0.023809523809523808,JITTER_SCALING,0/3,46,WELL-00020,120
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,42,WELL-00033,4610
,,,0.0,1.0,0.25,FRERA,0,42,WELL-00033,4610
,,,0.0,1.0,0.25,JITTER_SCALING,0,42,WELL-00033,4610
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,43,WELL-00033,4610
,,,0.0,1.0,0.25,FRERA,0,43,WELL-00033,4610
,,,0.0,1.0,0.25,JITTER_SCALING,0,43,WELL-00033,4610
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,44,WELL-00033,4610
,,,0.0,1.0,0.25,FRERA,0,44,WELL-00033,4610
,,,0.0,1.0,0.25,JITTER_SCALING,0,44,WELL-00033,4610
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,45,WELL-00033,4610
,,,0.0,1.0,0.25,FRERA,0,45,WELL-00033,4610
,,,0.0,1.0,0.25,JITTER_SCALING,0,45,WELL-00033,4610
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,46,WELL-00033,4610
,,,0.0,1.0,0.25,FRERA,0,46,WELL-00033,4610
,,,0.0,1.0,0.25,JITTER_SCALING,0,46,WELL-00033,4610
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,42,WELL-00035,8131
,,,0.0,1.0,0.25,FRERA,0,42,WELL-00035,8131
,,,0.0,1.0,0.25,JITTER_SCALING,0,42,WELL-00035,8131
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,43,WELL-00035,8131
,,,0.0,1.0,0.25,FRERA,0,43,WELL-00035,8131
,,,0.0,1.0,0.25,JITTER_SCALING,0,43,WELL-00035,8131
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,44,WELL-00035,8131
,,,0.0,1.0,0.25,FRERA,0,44,WELL-00035,8131
,,,0.0,1.0,0.25,JITTER_SCALING,0,44,WELL-00035,8131
,,,0.0,1.0,0.25,FINAL_QDIFFCL,0,45,WELL-00035,8131
