row_type,dataset,comparison,metric,seed,delta,directional_benefit,mean_delta,std_delta,positive_seed_count,nonworse_seed_count,loso_mean_min,loso_mean_max,loso_mean_range
summary,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,,,,0.04573542108265294,0.09544112004220486,3,3,0.004510617342472337,0.06550499725630973,0.060994379913837396
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,42,0.035214582754578894,0.035214582754578894,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,43,0.0026341335751908224,0.0026341335751908224,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,44,0.4617560936111231,0.4617560936111231,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,45,-0.008524382483508175,-0.008524382483508175,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,46,-0.013393523011137498,-0.013393523011137498,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,,,,0.09553738088924943,0.20559717368239933,3,3,0.003982702708781011,0.12277010686434615,0.11878740415556514
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,42,0.0007568136377985903,0.0007568136377985903,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,43,0.08398887060093417,0.08398887060093417,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,44,0.0009773465980128788,0.0009773465980128788,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,45,-0.0007694398302949268,-0.0007694398302949268,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,46,0.1436852462412022,0.1436852462412022,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,,,,0.04572776744953058,0.06566307334326327,4,4,0.021238397751612677,0.057352069269486966,0.036113671517874285
seed,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,42,0.003669023461990162,0.003669023461990162,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,43,-0.006984456523039917,-0.006984456523039917,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,44,0.0994635215690381,0.0994635215690381,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,45,0.0025178828451427604,0.0025178828451427604,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,46,0.04908250227445543,0.04908250227445543,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,macro_f1,,,,0.029549694725517307,0.04473462294657471,4,4,0.012071238014637109,0.03868323253765661,0.026611994523019503
seed,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,42,0.0037921423371287677,0.0037921423371287677,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,43,-0.016574908827901913,-0.016574908827901913,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,44,0.11474560315728932,0.11474560315728932,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,45,0.012220295158125727,0.012220295158125727,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,46,0.14077978221180537,0.14077978221180537,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,recall_macro,,,,0.05099258280728945,0.07145405267836831,4,4,0.028545782956160476,0.0678844557160873,0.03933867275992682
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,42,-0.003917919902928002,-0.003917919902928002,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,43,-0.006140550233527109,-0.006140550233527109,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,44,0.4218538003837236,0.4218538003837236,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,45,0.0004372121609976798,0.0004372121609976798,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,46,-0.025199179366659052,-0.025199179366659052,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_fault_vs_normal,,,,0.07740667260832143,0.1928016534715757,2,2,-0.008705109335529121,0.10305813560206654,0.11176324493759567
