dataset,channel,frequency_bin,unsafe_rate,safe_prob,valid_support
3W,8,1,0.09090909,0.90909094,11
3W,8,2,0.0,1.0,11
3W,8,3,0.0,1.0,11
3W,8,4,0.09090909,0.90909094,11
3W,8,5,0.09090909,0.90909094,11
3W,8,6,0.0,1.0,11
3W,8,7,0.09090909,0.90909094,11
3W,8,8,0.09090909,0.90909094,11
3W,8,9,0.09090909,0.90909094,11
3W,8,10,0.09090909,0.90909094,11
3W,8,11,0.0,1.0,11
3W,8,12,0.09090909,0.90909094,11
3W,8,13,0.09090909,0.90909094,11
3W,8,14,0.09090909,0.90909094,11
3W,8,15,0.0,1.0,11
3W,8,16,0.09090909,0.90909094,11
3W,8,17,0.0,1.0,11
3W,8,18,0.0,1.0,11
3W,8,19,0.0,1.0,11
3W,8,20,0.09090909,0.90909094,11
3W,8,21,0.0,1.0,11
3W,8,22,0.0,1.0,11
3W,8,23,0.09090909,0.90909094,11
3W,8,24,0.0,1.0,11
3W,8,25,0.09090909,0.90909094,11
3W,8,26,0.0,1.0,11
3W,8,27,0.0,1.0,11
3W,8,28,0.09090909,0.90909094,11
3W,8,29,0.0,1.0,11
3W,8,30,0.09090909,0.90909094,11
3W,8,31,0.0,1.0,11
3W,8,32,0.09090909,0.90909094,11
3W,9,0,0.45454547,0.54545456,11
3W,9,1,0.09090909,0.90909094,11
3W,9,2,0.09090909,0.90909094,11
3W,9,3,0.09090909,0.90909094,11
3W,9,4,0.09090909,0.90909094,11
3W,9,5,0.09090909,0.90909094,11
3W,9,6,0.09090909,0.90909094,11
3W,9,7,0.09090909,0.90909094,11
3W,9,8,0.09090909,0.90909094,11
3W,9,9,0.0,1.0,11
3W,9,10,0.0,1.0,11
3W,9,11,0.0,1.0,11
3W,9,12,0.09090909,0.90909094,11
3W,9,13,0.09090909,0.90909094,11
3W,9,14,0.0,1.0,11
3W,9,15,0.09090909,0.90909094,11
3W,9,16,0.09090909,0.90909094,11
3W,9,17,0.09090909,0.90909094,11
3W,9,18,0.09090909,0.90909094,11
3W,9,19,0.09090909,0.90909094,11
3W,9,20,0.09090909,0.90909094,11
3W,9,21,0.0,1.0,11
3W,9,22,0.09090909,0.90909094,11
3W,9,23,0.09090909,0.90909094,11
3W,9,24,0.09090909,0.90909094,11
3W,9,25,0.09090909,0.90909094,11
3W,9,26,0.09090909,0.90909094,11
3W,9,27,0.09090909,0.90909094,11
3W,9,28,0.09090909,0.90909094,11
3W,9,29,0.0,1.0,11
3W,9,30,0.09090909,0.90909094,11
3W,9,31,0.09090909,0.90909094,11
3W,9,32,0.09090909,0.90909094,11
3W,10,0,0.0,1.0,11
3W,10,1,0.0,1.0,11
3W,10,2,0.0,1.0,11
3W,10,3,0.0,1.0,11
3W,10,4,0.0,1.0,11
3W,10,5,0.0,1.0,11
3W,10,6,0.0,1.0,11
3W,10,7,0.0,1.0,11
