dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,3,32,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,0,1.0,0.9958620667457581,0.5561262965202332,fault_high_domain_high
3W,4,1,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,2,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,3,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,4,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,5,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,6,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,7,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,8,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,9,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,10,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,11,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,12,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,13,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,14,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,15,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,16,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,17,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,18,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,19,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,20,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,21,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,22,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,23,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,24,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,25,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,26,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,27,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,28,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,29,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,30,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,31,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,4,32,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,0,1.0,1.0,0.3018497824668884,fault_low_domain_high
3W,5,1,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,2,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,3,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,4,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,5,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,6,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,7,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,8,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,9,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,10,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,11,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,12,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,13,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,14,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,15,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,16,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,17,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,18,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,19,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,20,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,21,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,22,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,23,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,24,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,25,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,26,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,27,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,28,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,29,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,30,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,31,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,5,32,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,6,0,1.0,0.9944827556610107,0.4583064615726471,fault_low_domain_high
3W,6,1,0.0,0.22206896543502808,0.5232059359550476,fault_high_domain_low
