dataset,method,seed,training,source,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1,auprc,fault_recall,mean_detection_delay_samples,detected_rate,missed_runs
3W,FINAL_QDIFFCL,42,reused_validation_checkpoint_test_evaluation_only,outputs\qdiffcl_final_5seed\3w\FINAL_QDIFFCL\seed_42\result.json,0.5045061387771479,0.4761833866922838,0.7799437877971334,0.522965657319033,0.32765928121015814,0.8945028976537445,937.9545454545455,0.28178998670801947,0.4281386738471895,0.9414074389724234,0.8356704763448705,0.009195402298850575,0.013679890560875513,,,,,
3W,FINAL_QDIFFCL,43,reused_validation_checkpoint_test_evaluation_only,outputs\qdiffcl_final_5seed\3w\FINAL_QDIFFCL\seed_43\result.json,0.5462574455988897,0.5545235715018237,0.8790000241918366,0.6598691709648623,0.4950897625857138,0.9383334271085354,352.5238095238095,0.435533894550288,0.588622754491018,0.8325926827783527,0.8602563094582908,0.44505747126436784,0.09799554565701558,,,,,
3W,FINAL_QDIFFCL,44,reused_validation_checkpoint_test_evaluation_only,outputs\qdiffcl_final_5seed\3w\FINAL_QDIFFCL\seed_44\result.json,0.5056010279393156,0.4698080609753284,0.890152693214505,0.5076676258819053,0.24385789600634022,0.8307263827153547,169.95454545454547,0.281346920691183,0.3939205955334988,0.8389845985268156,0.8659618918961374,0.002758620689655172,0.001488833746898263,,,,,
3W,FINAL_QDIFFCL,45,new_training,outputs\qdiffcl_final_5seed\3w\FINAL_QDIFFCL\seed_45\result.json,0.5887245511352569,0.5841393864218968,0.8737560017214965,0.628518906395845,0.4204886116949795,0.8614190063579586,37.69565217391305,0.5228178998670802,0.6606942889137738,0.8659523954465209,0.800438904988324,0.3682758620689655,0.2366322008862629,,,,,
3W,FINAL_QDIFFCL,46,new_training,outputs\qdiffcl_final_5seed\3w\FINAL_QDIFFCL\seed_46\result.json,0.553058808279891,0.5936155467981219,0.9026355229945956,0.6828756678163646,0.5336825057716825,0.9491081978281664,67.57142857142857,0.48914488258750555,0.641487507263219,0.8433676264686187,0.7899756233160843,0.5756321839080459,0.1715891180703077,,,,,
TEP,UNIFORM,7,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.8894703650022682,,,,0.0375,0.79375,,,,,,,,0.9314254491347816,0.8021276595744681,103.0,0.85,6.0
TEP,UNIFORM,42,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.8833220753916375,,,,0.055078125,0.78125,,,,,,,,0.9308804677712986,0.8106382978723404,121.97142857142858,0.875,5.0
TEP,UNIFORM,43,new_training,outputs\qdiffcl_final_5seed\tep\UNIFORM\seed_43\metrics.json,0.8977351302505869,,,,0.012890625,0.74375,,,,,,,,0.9319794922568985,0.7893617021276595,110.52941176470588,0.85,6.0
TEP,UNIFORM,44,new_training,outputs\qdiffcl_final_5seed\tep\UNIFORM\seed_44\metrics.json,0.8955999253325444,,,,0.027734375,0.7625,,,,,,,,0.9351747111390596,0.8031914893617021,107.23529411764706,0.85,6.0
TEP,UNIFORM,2026,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.8810042502479886,,,,0.022265625,0.7375,,,,,,,,0.9194835723399148,0.7654255319148936,126.05882352941177,0.85,6.0
TEP,CURRENT_R1,7,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.8919923795476893,,,,0.0296875,0.79375,,,,,,,,0.9316358253276307,0.7978723404255319,103.0,0.85,6.0
TEP,CURRENT_R1,42,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.886470233092731,,,,0.054296875,0.7875,,,,,,,,0.931524460087071,0.8164893617021277,121.97142857142858,0.875,5.0
TEP,CURRENT_R1,43,new_training,outputs\qdiffcl_final_5seed\tep\CURRENT_R1\seed_43\metrics.json,0.8977351302505869,,,,0.012890625,0.74375,,,,,,,,0.9319370397875497,0.7893617021276595,110.52941176470588,0.85,6.0
TEP,CURRENT_R1,44,new_training,outputs\qdiffcl_final_5seed\tep\CURRENT_R1\seed_44\metrics.json,0.8966204702832983,,,,0.023828125,0.75625,,,,,,,,0.9349927406437577,0.800531914893617,109.58823529411765,0.85,6.0
TEP,CURRENT_R1,2026,reused_existing,outputs/frequency_selective_r1_3seed/result.json,0.8809769629983866,,,,0.021875,0.7375,,,,,,,,0.919484986850244,0.7648936170212766,126.05882352941177,0.85,6.0
TEP,FINAL_QDIFFCL,7,reused_validation_checkpoint_test_evaluation_only,outputs\r1_des_weight_search\tep\DE_50_50\seed_7\model.pt,0.8913159818399201,,,,0.030859375,0.79375,,,,,,,,0.9314994413459726,0.7978723404255319,103.0,0.85,6.0
TEP,FINAL_QDIFFCL,42,reused_validation_checkpoint_test_evaluation_only,outputs\r1_des_weight_search\tep\DE_50_50\seed_42\model.pt,0.8859583014031658,,,,0.05390625,0.78125,,,,,,,,0.9316237221107334,0.8148936170212766,121.97142857142858,0.875,5.0
TEP,FINAL_QDIFFCL,43,new_training,outputs\qdiffcl_final_5seed\tep\FINAL_QDIFFCL\seed_43\metrics.json,0.8975311292400172,,,,0.013671875,0.74375,,,,,,,,0.9318761472289588,0.7898936170212766,110.52941176470588,0.85,6.0
TEP,FINAL_QDIFFCL,44,new_training,outputs\qdiffcl_final_5seed\tep\FINAL_QDIFFCL\seed_44\metrics.json,0.8956216968313623,,,,0.028125,0.7625,,,,,,,,0.9350802710537098,0.8037234042553192,107.23529411764706,0.85,6.0
TEP,FINAL_QDIFFCL,2026,reused_validation_checkpoint_test_evaluation_only,outputs\r1_des_weight_search\tep\DE_50_50\seed_2026\model.pt,0.8809769629983866,,,,0.021875,0.7375,,,,,,,,0.9194652094676313,0.7648936170212766,126.05882352941177,0.85,6.0
