dataset,split,group_type,group,metric,count,mean,std,min,p05,p25,median,p75,p95,max
3W,train,unit,WELL-00013,safe_capacity,206,0.13526903552193087,0.11611833962849537,0.08349686861038208,0.08403516933321953,0.0868304893374443,0.0943525843322277,0.11885742656886578,0.39540062844753265,0.6450201869010925
3W,train,unit,WELL-00013,rho,206,0.13526903552193087,0.11611833962849537,0.08349686861038208,0.08403516933321953,0.0868304893374443,0.0943525843322277,0.11885742656886578,0.39540062844753265,0.6450201869010925
3W,train,unit,WELL-00016,critical_energy_ratio,289,0.742907630221654,0.11675668466086662,0.36631715297698975,0.38532590866088867,0.7810213565826416,0.781735360622406,0.7822819352149963,0.7827245235443115,0.7830381989479065
3W,train,unit,WELL-00016,safe_capacity,289,0.2570923714798627,0.11675668362640562,0.2169618308544159,0.21727547347545623,0.21771804988384247,0.218264639377594,0.2189786732196808,0.6146740794181823,0.6336828470230103
3W,train,unit,WELL-00016,rho,289,0.2570923714798627,0.11675668362640562,0.2169618308544159,0.21727547347545623,0.21771804988384247,0.218264639377594,0.2189786732196808,0.6146740794181823,0.6336828470230103
3W,train,unit,WELL-00025,critical_energy_ratio,1027,0.6966411490809488,0.09169859298638566,0.41403794288635254,0.46493027210235593,0.7340674102306366,0.7341922521591187,0.7342828512191772,0.7350630700588227,0.806468665599823
3W,train,unit,WELL-00025,safe_capacity,1027,0.30335885119472994,0.09169859241765682,0.1935313493013382,0.26493695080280305,0.26571713387966156,0.26580777764320374,0.2659325897693634,0.535069715976715,0.5859620571136475
3W,train,unit,WELL-00025,rho,1027,0.30335885119472994,0.09169859241765682,0.1935313493013382,0.26493695080280305,0.26571713387966156,0.26580777764320374,0.2659325897693634,0.535069715976715,0.5859620571136475
3W,train,unit,WELL-00026,critical_energy_ratio,1587,0.4707833507861742,0.1421842594102369,0.35342052578926086,0.3647775620222092,0.3684510737657547,0.37248700857162476,0.6698105335235596,0.6712656140327453,0.6723554730415344
3W,train,unit,WELL-00026,safe_capacity,1587,0.5292166482936532,0.1421842592680074,0.32764455676078796,0.328734365105629,0.33018945157527924,0.6275129914283752,0.6315489113330841,0.6352224469184875,0.6465794444084167
3W,train,unit,WELL-00026,rho,1587,0.5292166482936532,0.1421842592680074,0.32764455676078796,0.328734365105629,0.33018945157527924,0.6275129914283752,0.6315489113330841,0.6352224469184875,0.6465794444084167
3W,train,unit,WELL-00027,critical_energy_ratio,1027,0.9399643211889406,0.03726068522395237,0.7293171882629395,0.8488540709018707,0.9425023794174194,0.9530382752418518,0.9533557593822479,0.9536540329456329,0.964914858341217
3W,train,unit,WELL-00027,safe_capacity,1027,0.060035679380553604,0.03726068507832994,0.03508513793349266,0.04634599313139916,0.04664425365626812,0.04696172848343849,0.057497622445225716,0.1511459335684776,0.27068284153938293
3W,train,unit,WELL-00027,rho,1027,0.060035679380553604,0.03726068507832994,0.03508513793349266,0.04634599313139916,0.04664425365626812,0.04696172848343849,0.057497622445225716,0.1511459335684776,0.27068284153938293
3W,train,unit,WELL-00028,critical_energy_ratio,444,0.5431366048686139,0.13796361852152322,0.2947671413421631,0.29810489118099215,0.4160105660557747,0.6333161890506744,0.646359458565712,0.6507784426212311,0.6528365015983582
3W,train,unit,WELL-00028,safe_capacity,444,0.4568633960039766,0.1379636181981848,0.34716346859931946,0.34922158271074294,0.3536405488848686,0.3666837811470032,0.5839894264936447,0.7018951088190079,0.7052328586578369
3W,train,unit,WELL-00028,rho,444,0.4568633960039766,0.1379636181981848,0.34716346859931946,0.34922158271074294,0.3536405488848686,0.3666837811470032,0.5839894264936447,0.7018951088190079,0.7052328586578369
3W,train,unit,WELL-00029,critical_energy_ratio,169,0.5573284285661031,0.12971885923523618,0.3151835501194,0.3153114140033722,0.4585241973400116,0.6055644750595093,0.6513113379478455,0.7099695682525635,0.7122820615768433
3W,train,unit,WELL-00029,safe_capacity,169,0.4426715730210028,0.12971885993285137,0.28771793842315674,0.290030437707901,0.34868863224983215,0.3944355249404907,0.541475772857666,0.6846886038780212,0.6848164200782776
3W,train,unit,WELL-00029,rho,169,0.4426715730210028,0.12971885993285137,0.28771793842315674,0.290030437707901,0.34868863224983215,0.3944355249404907,0.541475772857666,0.6846886038780212,0.6848164200782776
3W,train,unit,WELL-00034,critical_energy_ratio,86,0.3479723978874295,0.002541357436524777,0.34495389461517334,0.34583914279937744,0.3467848673462868,0.347374364733696,0.34786447137594223,0.3534124717116356,0.3585892915725708
3W,train,unit,WELL-00034,safe_capacity,86,0.6520276014194932,0.0025413564642426407,0.6414107084274292,0.6465875506401062,0.6521355360746384,0.6526256203651428,0.6532151401042938,0.6541608422994614,0.6550461053848267
3W,train,unit,WELL-00034,rho,86,0.6520276014194932,0.0025413564642426407,0.6414107084274292,0.6465875506401062,0.6521355360746384,0.6526256203651428,0.6532151401042938,0.6541608422994614,0.6550461053848267
3W,train,unit,WELL-00036,critical_energy_ratio,13,0.3646024144612826,0.004507586780808901,0.3565656542778015,0.3580752730369568,0.3611815571784973,0.36667490005493164,0.3670891523361206,0.3710766851902008,0.3729698956012726
3W,train,unit,WELL-00036,safe_capacity,13,0.6353975947086627,0.0045075768540361605,0.6270301342010498,0.6289233446121216,0.6329108476638794,0.6333250999450684,0.6388184428215027,0.6419247269630433,0.6434343457221985
3W,train,unit,WELL-00036,rho,13,0.6353975947086627,0.0045075768540361605,0.6270301342010498,0.6289233446121216,0.6329108476638794,0.6333250999450684,0.6388184428215027,0.6419247269630433,0.6434343457221985
3W,train,unit,WELL-00038,critical_energy_ratio,60,0.4461518416802088,0.015706895668580908,0.42060163617134094,0.425600653886795,0.43855753540992737,0.4492752403020859,0.4503004401922226,0.4528052762150763,0.5057250261306763
3W,train,unit,WELL-00038,safe_capacity,60,0.5538481598099073,0.01570689700665936,0.49427494406700134,0.5471947520971299,0.5496995449066162,0.5507247745990753,0.5614424645900726,0.574399346113205,0.5793983340263367
3W,train,unit,WELL-00038,rho,60,0.5538481598099073,0.01570689700665936,0.49427494406700134,0.5471947520971299,0.5496995449066162,0.5507247745990753,0.5614424645900726,0.574399346113205,0.5793983340263367
3W,train,unit,WELL-00039,critical_energy_ratio,30,0.42973027427991234,0.016825834718315738,0.3760005831718445,0.38739157617092135,0.4312654212117195,0.4355544298887253,0.4388027787208557,0.44127598851919175,0.44273293018341064
3W,train,unit,WELL-00039,safe_capacity,30,0.5702697257200877,0.016825840861183224,0.5572670698165894,0.558723995089531,0.5611972510814667,0.5644455850124359,0.5687345713376999,0.612608453631401,0.6239994168281555
3W,train,unit,WELL-00039,rho,30,0.5702697257200877,0.016825840861183224,0.5572670698165894,0.558723995089531,0.5611972510814667,0.5644455850124359,0.5687345713376999,0.612608453631401,0.6239994168281555
3W,train,unit,WELL-00040,critical_energy_ratio,411,0.6677668497800247,0.0008854207709766006,0.6646291017532349,0.6663930416107178,0.667129397392273,0.6677454710006714,0.6684493720531464,0.6691590845584869,0.6697832942008972
3W,train,unit,WELL-00040,safe_capacity,411,0.3322331501474636,0.0008854223169019766,0.3302166759967804,0.33084091544151306,0.33155061304569244,0.3322544991970062,0.33287061750888824,0.3336069583892822,0.33537086844444275
3W,train,unit,WELL-00040,rho,411,0.3322331501474636,0.0008854223169019766,0.3302166759967804,0.33084091544151306,0.33155061304569244,0.3322544991970062,0.33287061750888824,0.3336069583892822,0.33537086844444275
3W,train,unit,WELL-00042,critical_energy_ratio,3017,0.45371609126095114,0.013020980579553827,0.4175667464733124,0.42735685110092164,0.4447067081928253,0.45909732580184937,0.4627004861831665,0.46802796721458434,0.4719083607196808
3W,train,unit,WELL-00042,safe_capacity,3017,0.5462839091341741,0.013020981213873658,0.5280916094779968,0.5319720387458802,0.5372995138168335,0.5409026741981506,0.5552932620048523,0.5726431488990783,0.58243328332901
3W,train,unit,WELL-00042,rho,3017,0.5462839091341741,0.013020981213873658,0.5280916094779968,0.5319720387458802,0.5372995138168335,0.5409026741981506,0.5552932620048523,0.5726431488990783,0.58243328332901
3W,train,fault_type,0,critical_energy_ratio,4000,0.38614004731178286,0.07112022323112124,0.29787179827690125,0.33167213946580887,0.36102084070444107,0.37580031156539917,0.3793877810239792,0.6324997574090957,0.7301540374755859
3W,train,fault_type,0,safe_capacity,4000,0.613859952814877,0.07112022290726436,0.26984596252441406,0.36750021427869795,0.6206121891736984,0.6241996586322784,0.6389791518449783,0.6683278620243073,0.7021281719207764
3W,train,fault_type,0,rho,4000,0.613859952814877,0.07112022290726436,0.26984596252441406,0.36750021427869795,0.6206121891736984,0.6241996586322784,0.6389791518449783,0.6683278620243073,0.7021281719207764
3W,train,fault_type,2,critical_energy_ratio,495,0.8614921879286718,0.10117104038337615,0.35091784596443176,0.6865870535373688,0.850761890411377,0.8975570201873779,0.9098993837833405,0.9150777339935303,0.9165031313896179
