dataset,rho,seed,macro_f1,auprc,far,early_recall,detection_delay,effective_total_budget,critical_budget,noncritical_budget,budget_absolute_error,allocation_max_error,mask_sha256,evaluation_split,test_metrics_read,training
3W,1.0,44,0.4915596734227221,0.6936409693053964,0.27255427807723287,0.9546862896979086,158.88888888888889,0.01797364093363285,0.011946229264140129,0.020560206845402718,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,reused_validation_reference
TEP,0.0,7,0.965618451345007,0.9953104376954711,0.05580357142857143,0.975,110.6,0.0,0.0,0.0,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.25,2026,0.9703153030649062,0.9952208923002562,0.049107142857142856,0.99375,109.8,0.004493410233408213,0.002998396521434188,0.005134486127644777,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.25,42,0.9739868859507685,0.9958819005719384,0.0390625,1.0,107.0,0.004493410233408213,0.002998396521434188,0.005134486127644777,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.25,7,0.9739632365203263,0.9955434625080967,0.044642857142857144,0.99375,107.4,0.004493410233408213,0.002998396521434188,0.005134486127644777,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.5,2026,0.9708333333333333,0.9952331234631793,0.049107142857142856,1.0,107.0,0.008986820466816425,0.005996793042868376,0.010268972255289555,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.5,42,0.9734642775844689,0.9957801631436355,0.04017857142857143,0.99375,107.4,0.008986820466816425,0.005996793042868376,0.010268972255289555,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.5,7,0.9729367031983895,0.9954365057490131,0.04241071428571429,0.99375,107.4,0.008986820466816425,0.005996793042868376,0.010268972255289555,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,0.75,7,0.9729415622463407,0.9954876114202688,0.041294642857142856,0.99375,107.4,0.01348023023456335,0.00899518933147192,0.01540345698595047,0.0,5.960464477539063e-08,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,new_training
TEP,1.0,2026,0.8847805728678917,0.96445862106746,0.025669642857142856,0.75625,128.4857142857143,0.01797364093363285,0.011993586085736752,0.02053794451057911,0.0,0.0,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,validation,False,reused_validation_reference
