auprc,auprc_mean,auprc_std,count,dataset,detection_delay_mean,detection_delay_std,early_recall,early_recall_mean,early_recall_std,effective_diffusion_budget,effective_scaling_std,far,far_mean,far_std,macro_f1,macro_f1_mean,macro_f1_std,method,rho,seed,seeds,stage
0.5290692242214871,,,,3W,,,0.912338941090418,,,,,0.48203025395403326,,,0.4663070752664243,,,SCALING,,42,,locked_test
0.6598691709648623,,,,3W,,,0.9383334271085354,,,,,0.4950897625857138,,,0.5462574455988897,,,DCBR,,43,,locked_test
0.6598691709648623,,,,3W,,,0.9383334271085354,,,,,0.4950897625857138,,,0.5462574455988897,,,FINAL_QDIFFCL,,43,,locked_test
0.6670864659196444,,,,3W,,,0.906402970798402,,,,,0.46362978532786603,,,0.5487780457487593,,,JITTER_SCALING,,43,,locked_test
0.6609422496555123,,,,3W,,,0.9514150677994712,,,,,0.5262396195858172,,,0.583018124674291,,,FRERA,,43,,locked_test
0.6668146830220668,,,,3W,,,0.9339447476509312,,,,,0.48754350298060023,,,0.5018166460607902,,,SCALING,,43,,locked_test
0.5076676258819053,,,,3W,,,0.8307263827153547,,,,,0.24385789600634022,,,0.5056010279393156,,,DCBR,,44,,locked_test
0.5076676258819053,,,,3W,,,0.8307263827153547,,,,,0.24385789600634022,,,0.5056010279393156,,,FINAL_QDIFFCL,,44,,locked_test
0.4965770879472794,,,,3W,,,0.8266471614246329,,,,,0.28438027635160745,,,0.49774798956620453,,,JITTER_SCALING,,44,,locked_test
0.5131204445367812,,,,3W,,,0.8529511056096326,,,,,0.17480445194858896,,,0.5197377436097653,,,FRERA,,44,,locked_test
0.5050584312029687,,,,3W,,,0.9041523659483486,,,,,0.38389442128114126,,,0.47981477817503965,,,SCALING,,44,,locked_test
0.628518906395845,,,,3W,,,0.8614190063579586,,,,,0.4204886116949795,,,0.5887245511352569,,,DCBR,,45,,locked_test
0.628518906395845,,,,3W,,,0.8614190063579586,,,,,0.4204886116949795,,,0.5887245511352569,,,FINAL_QDIFFCL,,45,,locked_test
0.6425572984468398,,,,3W,,,0.8577899060372475,,,,,0.3863064677302643,,,0.6194549414353113,,,JITTER_SCALING,,45,,locked_test
0.5888571794968936,,,,3W,,,0.9501209700106904,,,,,0.5430205713104304,,,0.48673412430116325,,,FRERA,,45,,locked_test
0.6537085612058781,,,,3W,,,0.8778484217633489,,,,,0.3921642948209917,,,0.652167905890479,,,SCALING,,45,,locked_test
0.6828756678163646,,,,3W,,,0.9491081978281664,,,,,0.5336825057716825,,,0.553058808279891,,,DCBR,,46,,locked_test
0.6828756678163646,,,,3W,,,0.9491081978281664,,,,,0.5336825057716825,,,0.553058808279891,,,FINAL_QDIFFCL,,46,,locked_test
0.6408567138012707,,,,3W,,,0.9032239914477016,,,,,0.4902312118810517,,,0.5132390493185289,,,JITTER_SCALING,,46,,locked_test
0.6683950598353277,,,,3W,,,0.892083497439937,,,,,0.45708280210881774,,,0.5439146542030627,,,FRERA,,46,,locked_test
0.6170204638688006,,,,3W,,,0.8966128397006695,,,,,0.499190241549223,,,0.46172612134858393,,,SCALING,,46,,locked_test
0.9377246497294661,,,,TEP,,,0.8,,,,,0.01953125,,,0.9048027241158538,,,DCBR,,7,,locked_test
0.9314994413459726,,,,TEP,,,0.79375,,,,,0.030859375,,,0.8913159818399201,,,FINAL_QDIFFCL,,7,,locked_test
0.9385216911397342,,,,TEP,,,0.825,,,,,0.021875,,,0.903195632662193,,,SCALING,,7,,locked_test
0.9296235839061229,,,,TEP,,,0.74375,,,,,0.01875,,,0.899066722886912,,,FRERA,,7,,locked_test
0.9399032045744273,,,,TEP,,,0.7875,,,,,0.025390625,,,0.9006642624662409,,,DCBR,,42,,locked_test
0.9316237221107334,,,,TEP,,,0.78125,,,,,0.05390625,,,0.8859583014031658,,,FINAL_QDIFFCL,,42,,locked_test
0.9389532347408475,,,,TEP,,,0.78125,,,,,0.0171875,,,0.9036927605446767,,,SCALING,,42,,locked_test
0.9364529740848616,,,,TEP,,,0.76875,,,,,0.02421875,,,0.9045466155810984,,,FRERA,,42,,locked_test
0.9361921265366635,,,,TEP,,,0.7875,,,,,0.023046875,,,0.9025159920711643,,,DCBR,,43,,locked_test
0.9318761472289588,,,,TEP,,,0.74375,,,,,0.013671875,,,0.8975311292400172,,,FINAL_QDIFFCL,,43,,locked_test
0.9360650152419745,,,,TEP,,,0.775,,,,,0.023828125,,,0.9020630816562962,,,SCALING,,43,,locked_test
0.9115659374235955,,,,TEP,,,0.675,,,,,0.026171875,,,0.8711484569661997,,,FRERA,,43,,locked_test
0.9398235298151802,,,,TEP,,,0.775,,,,,0.029296875,,,0.9006209674319464,,,DCBR,,44,,locked_test
0.9350802710537098,,,,TEP,,,0.7625,,,,,0.028125,,,0.8956216968313623,,,FINAL_QDIFFCL,,44,,locked_test
0.9390542772037493,,,,TEP,,,0.7875,,,,,0.012890625,,,0.9074287121963153,,,SCALING,,44,,locked_test
0.9298992774758206,,,,TEP,,,0.76875,,,,,0.0265625,,,0.8900658096015246,,,FRERA,,44,,locked_test
0.9374126606562327,,,,TEP,,,0.8125,,,,,0.0265625,,,0.903188153854892,,,DCBR,,2026,,locked_test
0.9194652094676313,,,,TEP,,,0.7375,,,,,0.021875,,,0.8809769629983866,,,FINAL_QDIFFCL,,2026,,locked_test
0.9390896294607132,,,,TEP,,,0.8,,,,,0.013671875,,,0.9077154837523501,,,SCALING,,2026,,locked_test
0.9148376400018567,,,,TEP,,,0.725,,,,,0.025,,,0.8723310248093277,,,FRERA,,2026,,locked_test
