dataset,method,seed,macro_f1,auprc,far,fault_recall,early_recall,detection_delay,training_seconds,peak_gpu_mib,training,source
TEP,NO_AUG,2026,0.9082679840326884,0.9380430295374623,0.01484375,0.8143617021276596,0.80625,106.88571428571429,257.1961364999879,1836.35302734375,new_training,outputs\external_baselines\tep\seed_2026\NO_AUG\metrics.json
TEP,NO_AUG,42,0.905483404136128,0.9407947662570848,0.018359375,0.8127659574468085,0.79375,124.25714285714285,232.08491619999404,1836.35302734375,new_training,outputs\external_baselines\tep\seed_42\NO_AUG\metrics.json
TEP,NO_AUG,7,0.903195632662193,0.9374394105151396,0.021875,0.8122340425531915,0.8125,102.31428571428572,275.8275563000061,76.16650390625,new_training,outputs\external_baselines\tep\seed_7\NO_AUG\metrics.json
TEP,SCALING,2026,0.9077154837523501,0.9390896294607132,0.013671875,0.8117021276595745,0.8,105.3529411764706,243.57164980002563,1836.35302734375,new_training,outputs\external_baselines\tep\seed_2026\SCALING\metrics.json
TEP,SCALING,42,0.9036927605446767,0.9389532347408475,0.0171875,0.8074468085106383,0.78125,125.17142857142858,259.6608273999882,1836.35302734375,new_training,outputs\external_baselines\tep\seed_42\SCALING\metrics.json
TEP,SCALING,43,0.9020630816562962,0.9360650152419745,0.023828125,0.8122340425531915,0.775,103.47058823529412,255.72130760000437,1836.39599609375,new_training,outputs\external_baselines\tep\seed_43\SCALING\metrics.json
TEP,SCALING,44,0.9074287121963153,0.9390542772037493,0.012890625,0.8101063829787234,0.7875,106.29411764705883,226.64715840001008,1836.39599609375,new_training,outputs\external_baselines\tep\seed_44\SCALING\metrics.json
TEP,SCALING,7,0.903195632662193,0.9385216911397342,0.021875,0.8122340425531915,0.825,101.85714285714286,261.115716100001,76.22021484375,new_training,outputs\external_baselines\tep\seed_7\SCALING\metrics.json
TEP,UNIFORM_DIFFUSION,2026,0.8810042502479886,0.9194835723399148,0.022265625,0.7654255319148936,0.7375,126.05882352941177,318.311738299999,76.173828125,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,UNIFORM_DIFFUSION,42,0.8833220753916375,0.9308804677712986,0.055078125,0.8106382978723404,0.78125,121.97142857142858,293.45101180000347,76.2275390625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,UNIFORM_DIFFUSION,43,0.8977351302505869,0.9319794922568985,0.012890625,0.7893617021276595,0.74375,110.52941176470588,253.67246550001437,76.181640625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,UNIFORM_DIFFUSION,44,0.8955999253325444,0.9351747111390596,0.027734375,0.8031914893617021,0.7625,107.23529411764706,243.91826099998434,76.2353515625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,UNIFORM_DIFFUSION,7,0.8894703650022682,0.9314254491347816,0.0375,0.8021276595744681,0.79375,103.0,324.37371160000475,76.2275390625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
